,Search_Engine,Search_String,Publisher,Title,Link,Date
10,Google,tata merger,Live Law - Indian Legal News,CCI Approves Proposed Merger Of Tata Motors Finance Limited With Tata Capital Limited,./read/CBMiygFBVV95cUxQbTJidEtKbjRaWjRGaFBNbXkycGZSRExSbmtRbkl0WFRLakhFMGliNHpaWjdjRGVkQVVvSjdSaUdPazBLcHJSWnFsVy16UjdVV0ZSb0hVTklWcVJHdm1mWmJ3c0tfZHpwYnBabkdPNVh4TERraXA2cHM1Q2NlN3lTMmYzcU5MNWlaWjNtTXAwM2lTbmkwYkJhdUJXSkxqUkJsRDQxLWY3UE1kMXRQR1FHMl9RVEFEN29vaFkwa3FPZUhyWG5sTU5sUkNn0gHPAUFVX3lxTE0zTW0yY3ZqRXgzWFFhT3pKZWxzaG9ONXJZMkppb3hEWkNVeGhSMlRLR2dNZDl0M2FzQVJ4WlZjbGV3MUszejNkSl9KSGVQUGo4djFKQ0JWN0dwal9QRUlfOW9JUU5idF82eHU1bXBOVlcxZzNBZGswN1NtRXM4b1NOYnRmSjFTd3dpajR5YkwzaDlySTNNbkpuV1JRRC1XUkFEbkJfSmFENGtBcG5PbFZuZ056LXNac2doTnZEejBJYURORkVxU0o3U2VJcERoRQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-12
11,Google,tata merger,The Times of India,"Vistara merger done, Singapore Airlines now 25.1% stakeholder in Tata's Air India",./read/CBMi9wFBVV95cUxPRFpVbkhaald2WnliT1U5cEJxVXBCTzRJcDAwYTdxSFkyQlRpWGJieTNyMVNndWwtT2w0M1RhQTN2UXh2V3V3Nm54R2w1OGU2M01jaGRoTHh2bkpzVExYQ0xKWHNUSVhRUll4eUVpbmlFR3pOZkNoS0JrQW04ZnBSaDNCTmJfbGpQdDRqcDhseE9MbzlQMGVnNXFuNUEzcGUzVWc0Qi1QV1A5NEYyQWFGdlExYUt5YjNaUUZTNm95SkJIbHBCR3J1Sm5CUG1jUFJUSWhCazU2Y1JmcnBQZGNEWDdJeDBwcFJEZHh6UG1Edkx4TVplLXY40gH8AUFVX3lxTE5vaUo3ZlZlX2ZFRmVMc0NjZWtmdVBvQUsxSVZlNHZzdElZN3lHUTRzNld3QlRRZWhfTl9KQ25pa1ItdU5lRms5dk5kX21ZTmhkYVQ2UVdyZm9FM0lwcWhPVk5Pb0hQbXZyUUc0RWJtdFViR2xsamtBTVM5S0Jkc1hLRjYxV3pLS1JDV3JGeVZfSElSOUozRkY3ZXh3RGxHUk5lSnJ1cHV5UzdzS09iTC1GZWlZcW85NXlTc0hMZlp2OE9ScVdna3lCT2VmZk0xb1JMcVFienJXejJINUhaOTdCSWozS1lNOVlPVHB4SlFBVTBZRzdsTDdLNW9zcg?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-12
12,Google,tata merger,ET Now,Tata Capital and Tata Motors Finance merger: NCLT asks NBFCs to seek shareholders' nod,./read/CBMi1AFBVV95cUxQN2RXU2xsbGxKNXJLVExuTXdlUks2SkxxNlpyNXRUOVFXdktHdGRveDFIQ2p3RHl6QmlVdHVQUU11amZJbXBfM0NZdEZ0bnlaVldzLVgydHQyd1p5MkF1NHBwRnR0VGp1eUFjMWlfZGFDb25qNkNpX2FpMlNpX2hUZVZlSzIyUlBHLS1zOXZUT0RRSzh5TnJfTDN6NndDQmlkWXg5dW5QckdEWUFrRmptemhFU2tEMHN4emxxZEgtSHIyNkhLc0pYNTNOSFRHSHNaVnFSMNIB2gFBVV95cUxOdV9MOUR0Q1Q1Z0swYzBpZWhMLVVhdG1FWEdBbG9OQXNCY0hWS2dNVXFPREwtbVdDZ25oSHlCc0d4OXBMMHpKX0lBWVFxMk1pczM3NHNUb2F1aWo3Z2tfR1BfUnJUMk4zb29Pa3pyY0hKNEJBbmlSX19uNVozblRjcVZGLTJZRE96cjE5ZGZaelQ5QmJQWklmZmZ3S3JGNnBpZ09OZGkxaWl0OEE1UFJPSy1qTTB6RXdycUdlWHRGdTdna3lpYzZOaVJ3ZXVvM2ZFemVtUnl5Y0NrQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-07
13,Google,tata merger,The Financial Express,Air India-Vistara merger finalised – Tata Group's airline now India's biggest international carrier - Airlines/Aviation News,./read/CBMi9wFBVV95cUxPT2RzOWlKRTlNOThmalItVEVMM0VBLXZXV3lYNmRLRF9HcjJycGktQ0h6N013dkVSeEFjckk4SlE2RnVjclZyZUlKTTVsZm1QenhCYjhscFUxck16RlU2X2R2Q3JBRTZZR2c0TC1Ja2wwWi1CTE0yS3p1ZGoxR1Zpd0FBWklJRWJ1dFBNNTlENWdoNkF0QllHOC1ZallZTGtPOEg4WHJwZ2xYckZkSE1tTDYxOUk3TDBYel9WOGhnWmpYdkR2TlJBcm1EM1B5b2h3cHFEeV8xSDBMOHVyVUptalVXX2JFN3lnQVNJVGpuNDdROU9oOTVV?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-13
14,Google,tata merger,Business Today,'Air India-Vistara merger important milestone to transform it into world-class global airline': Tata Group chairman N Chandrasekaran,./read/CBMipwJBVV95cUxQeklhZ3FWSHZncDVDOGxhVUgxdlAzTUowQWJJdGwwdm83MVdlUEg3ckpzYTd1M3NBUXNNdXg0OGpCMFQ4d0tiT09GelByb01ucnFkSnE2c28xb3dCTmJVQTJrbW1RaGhKc1RPRFpFVVJLOWdHWWlEMDR5NlJfM2ZMWnVGS1d5b2wyNG1oTUpiWEllRkNYRzNUYWRERGkzUk1mVWJRVGZNZENJb3I5WWhEQ3E0WDNMWkZUWGdTQVU5RjdiUFBzcm5ncGlvNjJOeUk4eUtVcUVPVmxVQmwtajNLZUtpS3BpMUJnSXBHa0UzcFB5MGVyNFk3T3htd0h0cFY0UXZlMEN6b04wdl9uYVktN0NqT2tHdTVJY1F2WUZZblFCNDVSUXVj?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-14
15,Google,tata merger,Business Standard,"Tata Electronics acquires 60% in Pegatron India, bags iPhone plant",./read/CBMi1wFBVV95cUxPZFJkNVUtcXR4cTd5RVVwMV84MjItSFFfdTJJTDVpRUliWU1NUFdpRUZDN1lrc0l4QzBCVUZCWWVKMF9wWXotZml2dWdSOUJtTEpHM281b2sydGVTRVZibTg0djIzZC0tdXZPZk5ENmZXOUE5WV83NWxIcHJ5ZUVKNm9DY2RBRG45T0luMUM4OHd4OHhaN3FUSzJ1U3podW5Ib1BPSndBTDMxVDNpeWY1V0RxV3NFV3ZhVDdHOGQ1WkxjNDRURkxBOHNEYzlkV0JFczlfYVgwONIB3AFBVV95cUxPVFZJV21xXzkyQl9QbjU5OE05OFBaNmpTNXdTMmJMUVEtT0ozN1ZnVjVicVJzUk9xMjdCd0xTdHhCbzh3WEtENC1YZUZnblQ4STdOYjgxRExrMEZRZXVmSE1rSkFITWlfUWp3bVhQM1NTVHBJS0poT0daSXQwM1k3RlN1LUltT0JBY3dJa0ZVNFhBaTZpU0N4dnBLbWgtZFUyR19scHZvNTR6Y1ZCRmMyQTVHdVljeHV0WHhSTGhPU0lkeUxqNnhwSFFCV0hkc01CZDlidEx2RUVSdG1r?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-01-24
16,Google,tata merger,CNBCTV18,Tata Motors Finance merger with Tata Capital gets CCI approval,./read/CBMiqwFBVV95cUxPdV90VG44NFZHTDBWLU5WXy0wZjU4dFJhU2VZT184NmxqSlhhYWtzOVNDSVF3SUh1dFIzY3h4VlBVNV9ZODExczZlanIyMDdJYXhTQVMtMVUwUnBLcXFfZjhZTFJ5cnZpem5mc1JXR0pKVS1WZGR4RURjek5hNjUzeG5ydGVzb3A0TlVVcmM2d0tkYmZoWm5LSXRUM2VDYmNINVhkTE0tLVI2OVHSAbABQVVfeXFMTktrdmdzMUJBaElpLU93eUVYSUNwS1JDeWhvaGs3TWh1eFRhSVJfZ3gydnN3STNVNjl0SHdkMWlUVjVPeFFGVE1LQjlKNXUzREZydFZacjNhTjBOTkNyR3RXZmRyVUlnLVFxbGkySnpIUDdJRDRFUmE5LWRRWVRKUHZrRUVXLUJ1dnZRN1FQQ3JNd2tEMXd6UmM1N3pSTkhPSjNMbS1Wdnk4Tnc3WGJIemM?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-10
17,Google,tata merger,Business Today,Bharti Airtel-Tata Play entity may not have representatives from Tata Group on board,./read/CBMi6gFBVV95cUxNbGlhLVFMZ1luTndYWGYxcnF6bWU0ajlpZlBNTVFRZVVxd056bG5EbTl6NVM5T1lBVXBJVUZlaUJqYVp5VmYzclBsdGpMd0xYRkdCWGFtYjAyVS1nQkZaZldLaFQyLXJSWE5XMnh0cGttdDlUTDJUSUpaQmg4YnpodWx4MzE0M3BBbHM0b0ExWTFsQjQ5ZGlKQjk2R3pGaVJYTFRqUGd5YU1HUU9VQ0QzdUJFZW5UWUNSZS16Q3VxNkxjM0c1RmktZjYzSURFMVd6dkdlbVVhWFVtVlRJRFU0NU9Cc0YxMDYzVGc?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-01-07
18,Google,tata merger,Business Standard,CCI clears proposed merger of Tata Motors Finance into Tata Capital,./read/CBMi0gFBVV95cUxNX191dEI2RGt3N3pVdlZ3bUQtZnZpWnZYV3VtaE1GVGtoZGxGVDhTejhYaWdlYXVxbnJuZVY4ZEpSRklVbXplaEpaWFh5YUR0bU5abDJ6aUxBcllQN1VxZ0c2YVB5S1QzTWVkWXpYR0RCNG91RE9HYkhQLXJZeWctc19CaFNwMm5hbk5TWXdGTE8zT2s2VU5EdWRCVWhZTW51MF8tWUt6NUVVc3RicU15d19XblA4QkFNZnNENDlyNDJWbW9FWHVRTVh1eGdYRy1YMVHSAdcBQVVfeXFMTlhjQkxiNGZDM2tTN1pZeE9IRWhaUWItX1NkRHRhSzNzZHR1V1RyYVQtVUFISlRjaXEtOGlrYnBZSTZZN2RnRG5mM2swZ2FGWkpZNUJ3bThSanRReTQxQTV5VzQxb1NZQklmUE9WdUZESEVvenhHVzlTRDh5Yjd2SHBCem9yR1NGTDFPc3pDS3V2YlZ6dmJkdGpzaWE1eHN5b1FSR0c1ZXMxcXU1bG9uUGVIczNZWFN5UlVPQ0hNUzhsa1pUZGp0Q0ttOXUyU01BTTBWRlA5eTg?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-10
19,Google,tata merger,Business Standard,Airtel in talks to buy Tata Play as digital TV industry sees shake-up,./read/CBMi1AFBVV95cUxQd29kQ0paY0I4ck5GVlBHbFh2cENKdUQtdVdRY2hkTnJ0Vmk1ZWVzTlBEUlNYc2cwbUo5TEtLRm95Z1FWVHlOeDY4WUM0RU1YZ3JvX1U3cmdDeURTdW9CZ2dfREtLRmpheHZwTXZGRjZDWUY1WVlCM0hNbi1qVVFxTVZKaXprNWEtTFV2V1pYa0d1V05mcjUyeFFCZHo5bVdRWEtHRDB4emRJVHBRanFqYW1UQk5wRXRWLURvRGZPbWVnWUFpVGdNbFNVZFo3cFV4aDJHUdIB2gFBVV95cUxNb1U2c1dHMVR3clNNb0Z3TzdBcFk2Q2RJM0d4RzJWdG9rdDJHWGozMDc4UjJ5U014LUZJVDE3ek9rVXJ1UDFhUGZzQkdacXFaYXh4Wnhza3pDajQxRThFM1FvUF83Z1FDZHBFOWRnWEZoYnEzVEtlckppZEZmY2dnYWFyUFhHYmp4SGV5bTBOWnpYWF9xM2g5UzJ5UTZkV1dTaU1OWHM0WlFQbTdscm1wUzJPMjEySzNjSGNPOVR0eWJaaUZjWkNBMmdhMFBBUzJzWmdIN3BZaUpsUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-08
